N00000010,"Burton, Dan",R
N00000011,"Browne, Harry",L
N00000019,"Clinton, Hillary",D
N00000036,"Feingold, Russ",D
N00000039,"Friedgen, Dale Eugene",3
N00000048,"Hefley, Joel",R
N00000067,"Kondner, Kenneth",R
N00000078,"Maloney, Carolyn B",D
N00000086,"Nader, Ralph",I
N00000086,"Nader, Ralph",3
N00000113,"Thompson, Charles E",R
N00000128,"Frazer, Victor O",D
N00000128,"Frazer, Victor O",I
N00000133,"Christian-Christensen, Donna",D
N00000140,"Romero-Barcelo, Carlos",3
N00000143,"Olver, John W",D
N00000153,"Neal, Richard E",D
N00000179,"McGovern, James P",D
N00000183,"Tierney, Tom",R
N00000183,"Tierney, Tom",D
N00000205,"Meehan, Marty",D
N00000219,"Torkildsen, Peter G",R
N00000220,"McCarthy, Paul",R
